Name,FireDragonCrane,
File,C:\Users\Are-Laptop\Documents\Skole\Bachelor\TC3\TestLogs\Scope Project.csv,
Starttime of export,133873051871670000,mandag 24. mars 2025,16:53:07.167
Endtime of export,133873051913070000,mandag 24. mars 2025,16:53:11.307


Name,Main Pa DCV,Main Pa Cyl,Main Pb DCV,Ps,Main X Ref,Main Piston Position,Main X Dot Ref,Main Piston Velocity,Main Flow A,Main Flow B,Main FF,Main PID,Main U,Main Error,Jib Pa Cyl,Jib Pa DCV,Jib Pb Cyl,Jib Pb DCV,Jib X Ref,Jib Piston Position,Jib X Dot Ref,Jib Velocity,Jib Flow A,Jib Flow B,Jib FF,Jib PID,Jib Error,Jib U,Winch Pa,Winch Pb,Winch Distance,Joystick Extrude,Joystick Jib,Joystick Main,Joystick Rotation,Joystick Winch

0,0.080707306384092625,49.589769246407819,0.29521465175983536,147.70197535421966,0.4913425641003093,0.4913425641003093,0,0,0,0,0,0,0,0,59.900213350344551,63.2641881163642,74.644236726876542,63.31138414116068,0.50588531550156124,0.50588531550156124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.0807493604702352,49.590042448464104,0.29523433710397845,147.7027561095488,0.49134114651160193,0.49134114651160193,0,0,0,0,0,0,0,0,59.900870846695796,63.2633255611416,74.643697997859618,63.311095112451866,0.50588509072439769,0.50588509072439769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0.080758049422170283,49.590325480430053,0.29519517147421087,147.70373541606884,0.49133996841401162,0.49133996841401162,0,0,0,0,0,0,0,0,59.901376927042094,63.262087915788861,74.642743276093341,63.310962531135644,0.505884865443736,0.505884865443736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0.080736303685000566,49.5907609301729,0.29519892464693948,147.70527730802638,0.49133887567358009,0.49133887567358009,0,0,0,0,0,0,0,0,59.901694855031543,63.260754360457128,74.641943416693124,63.311117597768451,0.50588527275409834,0.50588527275409834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0.08078329925961486,49.59147811381456,0.29524176814092556,147.70703655086032,0.49133800252391757,0.49133800252391757,0,0,0,0,0,0,0,0,59.901599129820319,63.259338682148019,74.641336009568491,63.311148597260704,0.50588483247600791,0.50588483247600791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0.080940935321365967,49.592497358711341,0.29532005934240713,147.70845676418514,0.49133733289975912,0.49133733289975912,0,0,0,0,0,0,0,0,59.901416042962182,63.258239310178745,74.640569001518742,63.310729081257655,0.50588551814356841,0.50588551814356841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0.081198758293374945,49.593450450300445,0.29533395357287245,147.70946608079487,0.49133698886415644,0.49133698886415644,0,0,0,0,0,0,0,0,59.901009501311073,63.257528864252,74.639755988131753,63.310093509288137,0.50588469835933847,0.50588469835933847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0.08154684795706188,49.594628661545954,0.29538550394111468,147.7100006415904,0.49133694284427087,0.49133694284427087,0,0,0,0,0,0,0,0,59.900256386803434,63.257271975835259,74.63895245988077,63.309649131904813,0.5058856709326679,0.5058856709326679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0.081975809222629287,49.596055530349176,0.29547116089819642,147.71053425798667,0.49133703103652149,0.49133703103652149,0,0,0,0,0,0,0,0,59.899816975948909,63.256995620938653,74.638257131938119,63.309139749843624,0.50588542803744974,0.50588542803744974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0.082428569659205586,49.597365978240155,0.295442976956962,147.71125767886156,0.4913371036626818,0.4913371036626818,0,0,0,0,0,0,0,0,59.899665128499848,63.256799006110349,74.637807713617846,63.308139414141593,0.50588629119772033,0.50588629119772033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0.082804841304674956,49.598565176667677,0.29531117901884746,147.71219937558081,0.49133716181920151,0.49133716181920151,0,0,0,0,0,0,0,0,59.899390348527241,63.2571577510235,74.637439549503625,63.307659556926275,0.50588705244364085,0.50588705244364085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,0.08306174241455129,49.599369119362152,0.29508549429843473,147.7133362349943,0.49133734406650759,0.49133734406650759,0,0,0,0,0,0,0,0,59.899245608807519,63.257539162458855,74.637146872990613,63.307800402793667,0.50588787586590589,0.50588787586590589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0.083257058668693068,49.599713368187146,0.29482334922142178,147.71440546276853,0.49133763865869973,0.49133763865869973,0,0,0,0,0,0,0,0,59.899123539880833,63.257891527671866,74.6371650963602,63.30802431249915,0.50588970092954522,0.50588970092954522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,0.08339549127553153,49.599974761713057,0.29462540427395661,147.71560161894442,0.49133789694578972,0.49133789694578972,0,0,0,0,0,0,0,0,59.898878030486983,63.258119650762794,74.637080978646,63.308467599919872,0.50589053494475889,0.50589053494475889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,0.083577934069702153,49.600352401921377,0.29453492913663537,147.71686050982763,0.49133812113408742,0.49133812113408742,0,0,0,0,0,0,0,0,59.898810175879944,63.258281863900336,74.637048524415917,63.309349986129433,0.50589172700204965,0.50589172700204965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,0.083896141950655631,49.601027240134165,0.29449453857679614,147.71797881946304,0.49133858837703431,0.49133858837703431,0,0,0,0,0,0,0,0,59.898904457950543,63.25833519039837,74.636918692402475,63.310291620027066,0.50589181821966078,0.50589181821966078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,0.084240409119337251,49.601922010979607,0.29440355585474209,147.71910920335714,0.49133913772848076,0.49133913772848076,0,0,0,0,0,0,0,0,59.899194290300976,63.258337288042647,74.636266911837538,63.310897976392539,0.50589327665705375,0.50589327665705375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,0.084462482200734476,49.602676289055879,0.29426683565694906,147.72048709053516,0.49133934721086142,0.49133934721086142,0,0,0,0,0,0,0,0,59.899612959680482,63.258051736135648,74.63519032787238,63.31095548891107,0.50589281426654964,0.50589281426654964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,0.0845723423659735,49.603155001755624,0.2940889818581352,147.72184408426187,0.491339521205705,0.491339521205705,0,0,0,0,0,0,0,0,59.899858207701008,63.257505221856796,74.63402009511654,63.31031992791771,0.50589376435591271,0.50589376435591271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,0.084724105576929692,49.603718095580341,0.293874351632438,147.72317668388393,0.4913397996837281,0.4913397996837281,0,0,0,0,0,0,0,0,59.900233633368948,63.256964055755716,74.632865540672981,63.309103580294789,0.50589457530376414,0.50589457530376414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,0.08491344928992367,49.604548621209389,0.29372344597015654,147.72448179611195,0.49134017226141286,0.49134017226141286,0,0,0,0,0,0,0,0,59.901063537571481,63.256140741653169,74.631729829401834,63.307362855330382,0.505895888432809,0.505895888432809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,0.08503990089357151,49.6052821862057,0.29367939110592561,147.72551574654247,0.49134049160212462,0.49134049160212462,0,0,0,0,0,0,0,0,59.902159681384191,63.255208179569195,74.630808542145175,63.305874113551127,0.50589765393637642,0.50589765393637642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,0.085108549622542828,49.605972703164028,0.293684673551156,147.72625035520682,0.49134089867995079,0.49134089867995079,0,0,0,0,0,0,0,0,59.9030603438901,63.2543243373266,74.629797105392583,63.305054577724341,0.50589856032677682,0.50589856032677682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,0.085220646487572591,49.606621271180565,0.29373488845378148,147.72675751369323,0.49134165910026051,0.49134165910026051,0,0,0,0,0,0,0,0,59.903682953630458,63.253391989266717,74.6288039084064,63.304510668884333,0.50590073488584142,0.50590073488584142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,0.085227309552917338,49.6071808643977,0.29368126628493507,147.72720000920594,0.4913427384638489,0.4913427384638489,0,0,0,0,0,0,0,0,59.904146145555245,63.252611897859396,74.628024023022093,63.304075464032984,0.50590121162041168,0.50590121162041168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,0.08504149531750349,49.607994530011609,0.29348505255704788,147.7276782264401,0.49134382916044378,0.49134382916044378,0,0,0,0,0,0,0,0,59.904462256549884,63.252166385206273,74.627200609241882,63.303548250514368,0.50590219403445713,0.50590219403445713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,0.084777426225780245,49.609229251114755,0.29320788514143475,147.72770517433648,0.49134451336427937,0.49134451336427937,0,0,0,0,0,0,0,0,59.904594915026827,63.251641937048269,74.626726328792174,63.303373021445019,0.50590094663432572,0.50590094663432572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,0.08463586991793498,49.61079454632015,0.29290624450482355,147.72717626655046,0.49134523700706584,0.49134523700706584,0,0,0,0,0,0,0,0,59.904463512635672,63.250806673355534,74.626668416683742,63.30337461339208,0.50590035916236553,0.50590035916236553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,0.0847028848336678,49.612413897556891,0.29267988190677685,147.72652852634863,0.49134613123180443,0.49134613123180443,0,0,0,0,0,0,0,0,59.904332996455125,63.250077053145439,74.6265563679422,63.303055379184563,0.50589879489712575,0.50589879489712575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,0.084815094562672555,49.613979722793211,0.29257119485921934,147.72553410558467,0.49134703984644323,0.49134703984644323,0,0,0,0,0,0,0,0,59.904059224300404,63.249928498595288,74.62644362827119,63.302686051461919,0.50589745309035927,0.50589745309035927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,0.084823461517988877,49.615490596593929,0.29242557737209535,147.72417954239904,0.4913478204809813,0.4913478204809813,0,0,0,0,0,0,0,0,59.903752392168066,63.250165385345404,74.626909018925119,63.302706275550257,0.5058967933924754,0.5058967933924754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,0.084737179893950576,49.61670447263193,0.29215050007565807,147.72283953609457,0.49134848142560916,0.49134848142560916,0,0,0,0,0,0,0,0,59.9034648419135,63.250607950097432,74.627658366815837,63.302888585352306,0.50589565151654114,0.50589565151654114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
